#suplemento verbs (complemento de régimen)
#TODO: add http://www.wikilengua.org/index.php/Lista_de_complementos_de_r%C3%A9gimen_A
#lemma	prep
acordarse	de
acostumbrar	a
acostumbrarse	a
acusar	de	algo
advertir	de
alegrarse	de
aprender	a
aspirar	a
asustarse	de
atreverse	a
avisar	de
burlarse	de
caracterizarse	por
carecer	de
casarse	con
cegarse	con
circundar	de
comparar	con
comprometerse	con
concebir	por
confiar	en
consistir	en
contar	con
convencer	de
convertir	en
convertida	en
convertido	en
convidar	a
creer	en
cuidar	de
darse	de
depender	de
desligarse	de
disponer	de
enamorarse	de
entrometerse	en
enzarzarse	en
fiarse	de
fijarse	en
gozar	de
hablar	de
hacer	de
huir	de
humillarse	a
incautarse	de
incomodarse	con
influir	en
informar	de
insistir	en
llenar	de
lleno	de
llena	de
llenos	de
llenas	de
luchar	por
manar	de
mofarse	de
morirse	de
muerto	de
muerta	de
muertos	de
muertas	de
oler	a
olvidarse	de
oponerse	a
pensar	en
preferir	a
preguntar	por
preocuparse	de
preocuparse	por
presumir	de
proseguir	con
quejarse	de
rebelarse	contra
remitirse	a
rendirse	a
resignarse	con
resistir	a
retractarse	de
reverstir	de
rodear	de
satisfacer	de
saber	de
salvar	de
seguir	con
servir	de
sonar	a
soñar	con
sucumbir	a
surgir	de
tomar	por
trabajar	en
tratar	sobre
tratar	de
trocar	por
untar	de
versar	sobre
versar	de
